Date,Club,Venue,Type,Start time
13/04/2024,Touring Team,Home,40 overs,tbc
28/04/2024,Lustleigh,Home,Sunday Friendly,1pm
04/05/2024,Chagford II,Home,League,1pm
08/05/2024,Manaton,Home,20-20,tbc
11/05/2024,Dartington and Totnes,Away,League,12pm
18/05/2024,Plymouth III,Home,League,1pm
22/05/2024,Harberton,Home,20-20,tbc
28/05/2024,Ilsington,Away,20-20,tbc
01/06/2024,Yelverton III,Home,League,1pm
05/06/2024,South Brent,Home,20-20,6pm
08/06/2024,Lewdown II,Away,League,1pm
12/06/2024,Ilsington,Home,20-20,tbc
15/06/2024,Bovey Travey IV,Home,League,1pm
18/06/2024,Holbeton,Home,20-20,tbc
03/07/2024,South Brent,Away,20-20,6pm
06/07/2024,Chagford II,Away,League,1pm
13/07/2024,Dartington and Totnes,Home,League,1pm
17/07/2024,Ugborough,Home,20-20,6pm
20/07/2024,Plymouth III,Away,League,1pm
24/07/2024,Manaton,Away,20-20,tbc
27/07/2024,Plymstock III,Away,League,1pm
03/08/2024,Yelverton III,Away,League,1pm
06/08/2024,Holbeton,Away,20-20,tbc
10/08/2024,Lewdown II,Home,League,1pm
13/08/2024,Cavendish Cavelliers,Away,20-20,tbc
17/08/2024,Bovey Travey IV,Away,League,1pm
21/08/2024,Ugborough,Home,20-20,6pm
31/08/2024,Plymstock III,Home,League,1pm
